id,poi shape,poi_type,coordinate
5419,Polygon,pitch," 19.1591325, 47.4669942 "
5420,Polygon,pitch," 19.1589805, 47.4668931 "
5422,Polygon,pitch," 19.1584006, 47.4672357 "
5423,Polygon,pitch," 19.1581909, 47.4673619 "
5424,Polygon,pitch," 19.1584941, 47.4673263 "
5425,Polygon,playground," 19.157938, 47.4672515 "
5426,Polygon,playground," 19.1596899, 47.467146 "
5427,Polygon,playground," 19.1600269, 47.4669725 "
5428,Polygon,playground," 19.1589076, 47.4678242 "
5429,Polygon,pitch," 19.1621192, 47.4692484 "
5430,Polygon,playground," 19.1611892, 47.4689481 "
5431,Polygon,pitch," 19.1669932, 47.4657474 "
5432,Polygon,playground," 19.1694598, 47.4659254 "
5433,Polygon,pitch," 19.167566, 47.4651837 "
5434,Polygon,pitch," 19.1682021, 47.4649304 "
5435,Polygon,pitch," 19.1690645, 47.4643638 "
5436,Polygon,pitch," 19.1655934, 47.4707836 "
5437,Polygon,pitch," 19.1660442, 47.4707394 "
5438,Polygon,playground," 19.1657723, 47.4708873 "
5439,Polygon,playground," 19.1654292, 47.4703358 "
5440,Polygon,playground," 19.1118892, 47.5723675 "
5441,Polygon,park," 19.1105609, 47.5722191 "
5442,Polygon,pitch," 18.9371931, 47.4079125 "
5443,Polygon,pitch," 18.9376996, 47.4084782 "
5444,Polygon,pitch," 19.0242354, 47.5213642 "
5445,Polygon,playground," 19.3479868, 47.4806172 "
5446,Polygon,park," 19.0498788, 47.5679701 "
5447,Polygon,park," 19.0749652, 47.5324923 "
5448,Polygon,park," 19.0768887, 47.5320866 "
5449,Polygon,park," 19.0788465, 47.5317387 "
5450,Polygon,park," 19.0803524, 47.5304149 "
5451,Polygon,pitch," 19.1444138, 47.4504833 "
5452,Polygon,pitch," 19.1257017, 47.5756661 "
5453,Polygon,dog_park," 19.0870269, 47.5168289 "
5454,Polygon,park," 19.182674, 47.6260232 "
5455,Polygon,playground," 19.0355918, 47.434495 "
5456,Polygon,park," 19.0356045, 47.4347744 "
5457,Polygon,dog_park," 19.0347442, 47.4353087 "
5458,Polygon,pitch," 19.0379618, 47.5248129 "
5459,Polygon,pitch," 19.1520465, 47.5026638 "
5460,Polygon,pitch," 19.1523582, 47.5026951 "
5461,Polygon,pitch," 19.1524297, 47.5023633 "
5462,Polygon,pitch," 19.1511621, 47.5025467 "
5463,Polygon,playground," 19.0386196, 47.4292447 "
5464,Polygon,track," 19.0104906, 47.5122259 "
5472,Polygon,playground," 19.3386103, 47.5934872 "
5474,Polygon,playground," 19.0024762, 47.4095064 "
5475,Polygon,park," 19.0371153, 47.5090765 "
5476,Polygon,playground," 19.2490337, 47.5908185 "
5477,Polygon,playground," 19.2508757, 47.5895543 "
5479,Polygon,garden," 19.2491267, 47.5906654 "
5486,Polygon,pitch," 19.0324975, 47.5047695 "
5487,Polygon,fitness_station," 19.0321852, 47.5050299 "
5492,Polygon,pitch," 19.1662811, 47.4402681 "
5493,Polygon,fitness_station," 19.3333621, 47.493236 "
5494,Polygon,dog_park," 19.079749, 47.474368 "
5495,Polygon,park," 19.0759891, 47.5479547 "
5496,Polygon,park," 19.0771521, 47.5477546 "
5497,Polygon,park," 19.0742773, 47.5493283 "
5498,Polygon,park," 19.0718613, 47.489436 "
5499,Polygon,pitch," 19.1577858, 47.5119562 "
5500,Polygon,pitch," 19.0429376, 47.5181438 "
5501,Polygon,pitch," 19.0429218, 47.5179845 "
5502,Polygon,pitch," 19.0431026, 47.5173596 "
5503,Polygon,pitch," 19.0429627, 47.5179075 "
5504,Polygon,pitch," 19.0432944, 47.5171172 "
5505,Polygon,pitch," 19.0425094, 47.5181407 "
5507,Polygon,park," 19.0649673, 47.5342489 "
5508,Polygon,playground," 19.141789, 47.4569665 "
5509,Polygon,park," 19.0559492, 47.4103672 "
5510,Polygon,pitch," 19.1888617, 47.5238266 "
5511,Polygon,pitch," 19.1890303, 47.5236196 "
5512,Polygon,pitch," 19.18923, 47.5235245 "
5514,Polygon,fitness_station," 19.0802318, 47.4756234 "
5515,Polygon,playground," 19.0829113, 47.4749799 "
5527,Polygon,pitch," 18.9760521, 47.4590317 "
5530,Polygon,pitch," 19.030538, 47.467001 "
5532,Polygon,playground," 19.1464793, 47.5104572 "
5533,Polygon,park," 19.0605998, 47.5691818 "
5534,Polygon,playground," 19.1445127, 47.5057503 "
5535,Polygon,playground," 19.1418326, 47.5125977 "
5536,Polygon,playground," 19.1448608, 47.5116743 "
5537,Polygon,pitch," 19.1629857, 47.5219853 "
5538,Polygon,pitch," 18.9712729, 47.5351175 "
5540,Polygon,pitch," 19.0517985, 47.6256496 "
5551,Polygon,park," 19.179967, 47.4758029 "
5552,Polygon,park," 19.1794559, 47.4744789 "
5553,Polygon,park," 19.1290517, 47.4877007 "
5554,Polygon,park," 19.0626244, 47.5934032 "
5555,Polygon,park," 19.0618426, 47.4887727 "
5560,Polygon,park," 19.0413303, 47.5337538 "
5561,Polygon,park," 19.0487432, 47.5902797 "
5562,Polygon,park," 19.0266369, 47.5479448 "
5563,Polygon,park," 19.0521402, 47.5640292 "
5564,Polygon,park," 19.0042825, 47.4658074 "
5565,Polygon,park," 19.087186, 47.422339 "
5566,Polygon,pitch," 19.167759, 47.5299648 "
5567,Polygon,pitch," 19.168499, 47.5298977 "
5568,Polygon,pitch," 19.1680423, 47.5296911 "
5569,Polygon,pitch," 19.1666747, 47.5290418 "
5570,Polygon,pitch," 19.1668953, 47.5288718 "
5571,Polygon,pitch," 19.1663727, 47.5293253 "
5572,Polygon,pitch," 19.1673739, 47.5293084 "
5573,Polygon,playground," 19.1279417, 47.5320916 "
5574,Polygon,playground," 19.0113312, 47.4326017 "
5577,Polygon,pitch," 19.0168816, 47.4244737 "
5579,Polygon,pitch," 19.0067191, 47.3334942 "
5580,Polygon,park," 19.1802127, 47.4426468 "
5581,Polygon,pitch," 19.0877215, 47.4847168 "
5585,Polygon,park," 19.1448475, 47.4618263 "
5586,Polygon,park," 19.1440307, 47.4612609 "
5587,Polygon,park," 19.1436207, 47.4597556 "
