id,poi shape,poi type,coordinate
1684,Point,bus_stop," 18.9218628, 47.3951076 "
1685,Point,bus_stop," 18.9412813, 47.3985167 "
1686,Point,bus_stop," 18.9415406, 47.3986548 "
1687,Point,bus_stop," 18.9440761, 47.4022583 "
1689,Point,bus_stop," 18.9462741, 47.4044092 "
1695,Point,bus_stop," 18.9578909, 47.4104044 "
1696,Point,bus_stop," 18.9577611, 47.4114039 "
1760,Point,bus_stop," 19.0411635, 47.5500511 "
1761,Point,bus_stop," 19.0367362, 47.5276193 "
1762,Point,bus_stop," 19.037178, 47.5277996 "
1763,Point,bus_stop," 19.0368666, 47.5276597 "
1764,Point,bus_stop," 19.0400286, 47.5276023 "
1765,Point,bus_stop," 19.0435802, 47.5333328 "
1767,Point,bus_stop," 19.046951, 47.5383533 "
1768,Point,bus_stop," 19.0467748, 47.5399344 "
1769,Point,bus_stop," 18.9907293, 47.5224062 "
1770,Point,bus_stop," 18.990842, 47.5222764 "
1772,Point,bus_stop," 18.9931057, 47.5235596 "
1773,Point,bus_stop," 18.9928108, 47.5235104 "
1785,Point,bus_stop," 18.9933712, 47.5336434 "
1786,Point,bus_stop," 18.996315, 47.5285427 "
1787,Point,bus_stop," 18.9965587, 47.5284463 "
1788,Point,bus_stop," 18.9997368, 47.5284609 "
1789,Point,bus_stop," 18.999608, 47.5285813 "
1790,Point,bus_stop," 18.997241, 47.5313852 "
1791,Point,bus_stop," 18.9980009, 47.5309418 "
1792,Point,bus_stop," 19.0042762, 47.5290522 "
1793,Point,bus_stop," 19.0076522, 47.527453 "
1794,Point,bus_stop," 19.0076925, 47.5272191 "
1795,Point,bus_stop," 19.0113474, 47.529363 "
1796,Point,bus_stop," 19.0111257, 47.5296313 "
1797,Point,bus_stop," 19.0163548, 47.529557 "
1798,Point,bus_stop," 19.0168779, 47.5293806 "
1808,Point,bus_stop," 19.0242741, 47.5146466 "
1809,Point,bus_stop," 19.0238199, 47.514748 "
1810,Point,bus_stop," 19.0268173, 47.5139844 "
1811,Point,bus_stop," 19.0274169, 47.513967 "
1812,Point,bus_stop," 19.0208982, 47.5173952 "
1813,Point,bus_stop," 19.0211533, 47.5175139 "
1814,Point,bus_stop," 19.0219139, 47.5201347 "
1815,Point,bus_stop," 19.0241595, 47.5166959 "
1816,Point,bus_stop," 19.0242041, 47.5169079 "
1819,Point,bus_stop," 19.0343876, 47.5102981 "
1820,Point,bus_stop," 19.0322349, 47.5114048 "
1821,Point,bus_stop," 19.0320789, 47.5112742 "
1822,Point,bus_stop," 19.0345355, 47.5111709 "
1828,Point,bus_stop," 18.9267296, 47.3896903 "
1832,Point,bus_stop," 18.9375728, 47.401957 "
1836,Point,bus_stop," 18.9407916, 47.4045891 "
1837,Point,bus_stop," 18.9423671, 47.405364 "
1842,Point,bus_stop," 18.9226113, 47.3817779 "
1855,Point,bus_stop," 18.9712501, 47.3881558 "
1856,Point,bus_stop," 18.9458336, 47.3801143 "
1860,Point,bus_stop," 18.9541045, 47.3829904 "
1867,Point,bus_stop," 18.9454524, 47.3801009 "
1868,Point,bus_stop," 18.9536229, 47.3830851 "
1992,Point,bus_stop," 19.0786858, 47.5591372 "
1998,Point,bus_stop," 19.0786002, 47.558949 "
2056,Point,bus_stop," 18.9636685, 47.4581945 "
2057,Point,bus_stop," 18.9597492, 47.4532522 "
2058,Point,bus_stop," 18.9775224, 47.4373991 "
2059,Point,bus_stop," 18.9729103, 47.4601876 "
2060,Point,bus_stop," 18.9702148, 47.4562617 "
2061,Point,bus_stop," 18.9584787, 47.4455881 "
2062,Point,bus_stop," 18.9666139, 47.4575588 "
2063,Point,bus_stop," 18.9780388, 47.4683151 "
2065,Point,bus_stop," 18.9721578, 47.4378696 "
2066,Point,bus_stop," 18.9690192, 47.4396664 "
2112,Point,bus_stop," 19.021124, 47.4978301 "
2154,Point,bus_stop," 18.9826092, 47.3544915 "
2155,Point,bus_stop," 18.9831381, 47.3547354 "
2164,Point,bus_stop," 19.1006458, 47.4759106 "
2166,Point,bus_stop," 19.1002907, 47.4758245 "
2168,Point,bus_stop," 18.9836795, 47.3632766 "
2169,Point,bus_stop," 18.9801688, 47.3607377 "
2170,Point,bus_stop," 19.0600107, 47.4695111 "
2177,Point,bus_stop," 18.9410679, 47.3789916 "
2178,Point,bus_stop," 18.941019, 47.3790833 "
2201,Point,bus_stop," 18.9766911, 47.4024814 "
2215,Point,bus_stop," 18.9769397, 47.4025061 "
2277,Point,bus_stop," 18.9218234, 47.51492 "
2281,Point,bus_stop," 18.901745, 47.4718018 "
2282,Point,bus_stop," 18.9216568, 47.5073224 "
2285,Point,bus_stop," 18.9093303, 47.4901651 "
2287,Point,bus_stop," 18.9267707, 47.5091157 "
2289,Point,bus_stop," 18.9214959, 47.5070707 "
2293,Point,bus_stop," 18.9212679, 47.5068612 "
2295,Point,bus_stop," 18.9210462, 47.5038072 "
2299,Point,bus_stop," 18.9214315, 47.507045 "
2303,Point,bus_stop," 18.8789466, 47.3743224 "
2304,Point,bus_stop," 18.8648324, 47.382396 "
2305,Point,bus_stop," 18.8775575, 47.3735347 "
2306,Point,bus_stop," 18.8939783, 47.3792011 "
2307,Point,bus_stop," 18.902653, 47.381406 "
2308,Point,bus_stop," 18.8585547, 47.3864837 "
2309,Point,bus_stop," 18.8778537, 47.374101 "
2310,Point,bus_stop," 18.8650013, 47.3824269 "
2311,Point,bus_stop," 18.8754396, 47.4677763 "
2312,Point,bus_stop," 18.898827, 47.380384 "
2313,Point,bus_stop," 18.9356859, 47.3759166 "
2314,Point,bus_stop," 18.8933335, 47.3791296 "
2315,Point,bus_stop," 18.901931, 47.3811438 "
2316,Point,bus_stop," 18.8785634, 47.3734833 "
2317,Point,bus_stop," 18.8988788, 47.3804892 "
2318,Point,bus_stop," 18.8859814, 47.3773139 "
2319,Point,bus_stop," 18.8854764, 47.3771213 "
2320,Point,bus_stop," 18.874724, 47.4682772 "
2330,Point,bus_stop," 19.2390793, 47.4711025 "
2331,Point,bus_stop," 19.2418236, 47.473812 "
2395,Point,bus_stop," 19.0819777, 47.5245618 "
2418,Point,bus_stop," 19.3937456, 47.4224828 "
2423,Point,bus_stop," 19.1391646, 47.6294972 "
2424,Point,bus_stop," 19.1639327, 47.6193379 "
2428,Point,bus_stop," 19.1363975, 47.5051326 "
2431,Point,bus_stop," 19.1366755, 47.5040903 "
2435,Point,bus_stop," 19.1306834, 47.6114841 "
2436,Point,bus_stop," 19.1271963, 47.6036558 "
2451,Point,bus_stop," 19.362875, 47.4473807 "
2475,Point,bus_stop," 19.1376196, 47.5032529 "
2476,Point,bus_stop," 19.1373141, 47.5032173 "
2543,Point,bus_stop," 18.9466753, 47.4157523 "
2544,Point,bus_stop," 18.9471736, 47.4154609 "
2545,Point,bus_stop," 18.9345529, 47.4161438 "
2573,Point,bus_stop," 19.0267279, 47.559884 "
2604,Point,bus_stop," 18.9645852, 47.5428793 "
2732,Point,bus_stop," 18.9284241, 47.3274664 "
2733,Point,bus_stop," 18.8602455, 47.3626645 "
2734,Point,bus_stop," 18.9151435, 47.3765964 "
2735,Point,bus_stop," 18.9296992, 47.3619415 "
2736,Point,bus_stop," 18.9354809, 47.327975 "
2737,Point,bus_stop," 18.9449027, 47.333508 "
2738,Point,bus_stop," 18.8963148, 47.3724906 "
2739,Point,bus_stop," 18.8673538, 47.3666986 "
2740,Point,bus_stop," 18.9295661, 47.3618982 "
2741,Point,bus_stop," 18.899445, 47.3230328 "
2742,Point,bus_stop," 18.9249746, 47.3252424 "
2743,Point,bus_stop," 18.9313857, 47.3656158 "
2744,Point,bus_stop," 18.9180951, 47.377404 "
2745,Point,bus_stop," 18.9333416, 47.3591276 "
2746,Point,bus_stop," 18.9127467, 47.3244041 "
2747,Point,bus_stop," 18.9247623, 47.3253682 "
