,price_per_sqm,apartment,house,number_of_whole_rooms,floor,number_of_half_rooms,furnish_furnished,view_panoramic,view_street,balcony,lift,air_conditioner,utility_double_comfort,heating_gas,heating_wall_heating,heating_central_heating,heating_electric,heating_floor,heating_circulating,heating_district,condition_of_property_renovated,longitude,latitude,data_index,cluster
1251,19.67213115,1,0,2.0,2.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.0666647,47.5074546,1251,1
1267,8.427272727,1,0,4.0,6.0,0.0,0.0,1,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0276361,47.4898559,1267,3
1270,10.05,1,0,4.0,3.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.04891168,47.5128294,1270,0
1275,9.088235294,1,0,3.0,3.0,1.0,0.0,1,0,1.0,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.0376431,47.49455799,1275,0
1284,13.36923077,1,0,2.0,4.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.0612687,47.508644700000005,1284,5
1285,9.094117647000001,1,0,3.0,3.0,1.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0556598,47.5074859,1285,0
1304,18.45833333,1,0,2.0,12.0,0.0,0.0,1,0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,1.0,0,19.0511781,47.5157739,1304,6
1342,7.830985915,1,0,2.0,3.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.086514899999997,47.525540299999996,1342,0
1343,11.12,1,0,1.0,2.0,2.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0838168,47.4781943,1343,4
1344,7.388059701,1,0,3.0,2.0,0.0,1.0,1,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0411423,47.5332926,1344,7
1346,6.541176471,1,0,2.0,1.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0656057,47.495364200000004,1346,7
1454,9.967741935,1,0,3.0,2.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.047718,47.476917,1454,4
1463,8.54,1,0,1.0,2.0,1.0,0.0,0,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0757199,47.495900899999995,1463,7
1477,8.849557522000001,1,0,2.0,3.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.0656773,47.4832795,1477,0
1480,14.39393939,1,0,2.0,2.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.050783600000003,47.502376500000004,1480,8
1498,16.57142857,1,0,1.0,2.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0618215,47.497023999999996,1498,8
1527,10.15789474,1,0,1.0,2.0,1.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0525367,47.4775877,1527,4
1529,10.86486486,1,0,1.0,1.0,1.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.0683298,47.5366395,1529,4
1559,14.13043478,1,0,1.0,4.0,1.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.0563286,47.502338200000004,1559,5
1567,18.86792453,1,0,4.0,3.0,0.0,0.0,0,0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.0661169,47.507102,1567,1
1589,9.313253012,1,0,3.0,4.0,0.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.057596899999997,47.50382379999999,1589,0
1596,6.823529412,1,0,2.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,1,19.055109100000003,47.4905287,1596,7
1613,11.86111111,1,0,1.0,6.0,1.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0,19.0292868,47.4897356,1613,5
1636,13.33333333,1,0,2.0,1.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,1,19.0581406,47.5019982,1636,8
1655,8.375,1,0,1.0,4.0,1.0,0.0,0,0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0,19.0221956,47.49893839999999,1655,0
1656,10.73469388,1,0,2.0,5.0,0.0,1.0,0,1,0.0,0.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0,19.0838168,47.4781943,1656,0
1671,13.07692308,1,0,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.028363600000002,47.5121263,1671,4
1685,9.28,1,0,2.0,2.0,0.0,1.0,0,1,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0346451,47.537629200000005,1685,7
1706,12.88333333,1,0,2.0,3.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.035156100000002,47.5152459,1706,5
1711,9.094117647000001,1,0,3.0,3.0,1.0,1.0,0,1,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.05566,47.5074852,1711,0
1730,14.89361702,1,0,1.0,4.0,1.0,1.0,0,0,0.0,1.0,1.0,0,1,0,0,0.0,0.0,0.0,0.0,0,19.0566593,47.5030102,1730,5
1734,20.89552239,1,0,3.0,1.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0571633,47.507189000000004,1734,1
1741,7.414285714,1,0,2.0,1.0,0.0,1.0,0,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.0653514,47.49260820000001,1741,7
1775,12.375,1,0,2.0,2.0,0.0,1.0,0,1,0.0,0.0,1.0,1,0,0,0,0.0,0.0,0.0,0.0,0,19.076559699999997,47.4866122,1775,4
1777,8.0,1,0,1.0,1.0,0.0,1.0,0,1,1.0,1.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,1,19.0686682,47.500491700000005,1777,7
1792,9.317460317,1,0,2.0,4.0,1.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.018478299999998,47.494333600000004,1792,0
1802,8.018518519,1,0,2.0,2.0,0.0,1.0,0,0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0665121,47.5282487,1802,7
1804,9.563636364,1,0,1.0,1.0,1.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0471806,47.5107964,1804,7
1817,7.606557377000001,1,0,2.0,2.0,1.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0519825,47.515504799999995,1817,7
1825,13.23809524,1,0,1.0,4.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0506922,47.4996552,1825,5
1832,12.8,1,0,2.0,4.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.0542845,47.4887515,1832,5
1833,10.16438356,1,0,2.0,3.0,2.0,0.0,0,0,0.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.120051999999998,47.514724,1833,0
1868,13.0952381,1,0,2.0,1.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,1,19.0660395,47.505923200000005,1868,4
1915,8.4,1,0,3.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0,19.0816288,47.50551110000001,1915,7
1921,7.810526316,1,0,3.0,2.0,0.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.02606611,47.50521934,1921,7
1933,6.831168831,1,0,2.0,3.0,1.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0791943,47.4894083,1933,7
1934,7.483870968,1,0,2.0,1.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.063251899999997,47.506837299999994,1934,7
1938,14.37209302,1,0,2.0,2.0,0.0,0.0,0,0,0.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.059561600000002,47.490774,1938,8
1952,9.094117647000001,1,0,3.0,3.0,1.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,1,19.05566,47.5074852,1952,0
1984,10.57894737,1,0,3.0,4.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.076710600000002,47.494843700000004,1984,0
1990,13.25714286,1,0,1.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,1,19.0598521,47.489214700000005,1990,8
2018,18.0,1,0,2.0,3.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0704538,47.510053000000006,2018,1
2048,13.12121212,1,0,1.0,3.0,1.0,1.0,0,0,0.0,1.0,1.0,0,1,0,1,0.0,0.0,0.0,0.0,1,19.0670591,47.512111,2048,5
2054,12.5,1,0,4.0,2.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.04886232,47.51442652,2054,4
2079,20.0,1,0,1.0,4.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0704538,47.510053000000006,2079,1
2080,17.39130435,1,0,2.0,2.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0704538,47.510053000000006,2080,8
2081,19.51219512,1,0,2.0,1.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,19.0704538,47.510053000000006,2081,1
