,price_per_sqm,number_of_whole_rooms,floor,number_of_half_rooms,furnish_furnished,view_panoramic,view_street,balcony,lift,air_conditioner,heating_gas,heating_wall_heating,heating_central_heating,heating_electric,heating_floor,heating_circulating,heating_district,condition_of_property_renovated,longitude,latitude,data_index,cluster
1100,14.14141414,3.0,4.0,0.0,1.0,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.056261499999998,47.4881889,1100,3
1102,13.79310345,3.0,3.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,1,0.0,0.0,0.0,0.0,0,19.041275100000004,47.497055200000005,1102,0
1140,9.740740741,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.071395499999998,47.5221461,1140,5
1158,9.872340426000001,1.0,1.0,1.0,0.0,0,1,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0633949,47.5023351,1158,5
1159,16.48888889,2.0,3.0,1.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.046682999999998,47.504896,1159,6
1164,17.83333333,2.0,3.0,1.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.049021,47.502012,1164,6
1205,6.628571429,2.0,4.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0709266,47.5355105,1205,4
1213,8.66,2.0,3.0,0.0,1.0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1,19.1293391,47.5038505,1213,4
1220,9.804878049,1.0,3.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.066104,47.4984575,1220,4
1229,8.553191489,1.0,3.0,1.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.2028003,47.5060018,1229,4
1232,11.30487805,3.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0601955,47.522484000000006,1232,5
1234,10.2,3.0,5.0,1.0,0.0,1,0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.051319,47.493570399999996,1234,4
1243,17.0,2.0,1.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0704538,47.510053000000006,1243,6
1247,16.04938272,2.0,3.0,0.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0540843,47.494279999999996,1247,6
1248,11.12,2.0,2.0,0.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0838168,47.4781943,1248,5
1250,10.86486486,1.0,3.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0761401,47.4895974,1250,5
1251,19.67213115,2.0,2.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0,19.0666647,47.5074546,1251,6
1267,8.427272727,4.0,6.0,0.0,0.0,1,0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0276361,47.4898559,1267,7
1270,10.05,4.0,3.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.04891168,47.5128294,1270,4
1275,9.088235294,3.0,3.0,1.0,0.0,1,0,1.0,1.0,1.0,0,0,1,0.0,0.0,0.0,0.0,0,19.0376431,47.49455799,1275,4
1284,13.36923077,2.0,4.0,0.0,1.0,0,0,1.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0612687,47.508644700000005,1284,3
1285,9.094117647000001,3.0,3.0,1.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0556598,47.5074859,1285,4
1304,18.45833333,2.0,12.0,0.0,0.0,1,0,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,19.0511781,47.5157739,1304,8
1342,7.830985915,2.0,3.0,1.0,1.0,0,0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.086514899999997,47.525540299999996,1342,4
1343,11.12,1.0,2.0,2.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0838168,47.4781943,1343,5
1344,7.388059701,3.0,2.0,0.0,1.0,1,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0411423,47.5332926,1344,1
1346,6.541176471,2.0,1.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0656057,47.495364200000004,1346,1
1454,9.967741935,3.0,2.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.047718,47.476917,1454,5
1463,8.54,1.0,2.0,1.0,0.0,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0757199,47.495900899999995,1463,1
1477,8.849557522000001,2.0,3.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0656773,47.4832795,1477,4
1480,14.39393939,2.0,2.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1,19.050783600000003,47.502376500000004,1480,0
1498,16.57142857,1.0,2.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0618215,47.497023999999996,1498,6
1527,10.15789474,1.0,2.0,1.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0525367,47.4775877,1527,5
1529,10.86486486,1.0,1.0,1.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0683298,47.5366395,1529,5
1559,14.13043478,1.0,4.0,1.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0563286,47.502338200000004,1559,3
1567,18.86792453,4.0,3.0,0.0,0.0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0661169,47.507102,1567,6
1589,9.313253012,3.0,4.0,0.0,1.0,0,1,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1,19.057596899999997,47.50382379999999,1589,4
1596,6.823529412,2.0,2.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,1,0.0,0.0,0.0,0.0,1,19.055109100000003,47.4905287,1596,1
1613,11.86111111,1.0,6.0,1.0,1.0,0,0,1.0,1.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0,19.0292868,47.4897356,1613,3
1636,13.33333333,2.0,1.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,1.0,0.0,0.0,0.0,1,19.0581406,47.5019982,1636,0
1655,8.375,1.0,4.0,1.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0,19.0221956,47.49893839999999,1655,4
1656,10.73469388,2.0,5.0,0.0,1.0,0,1,0.0,0.0,1.0,0,0,1,0.0,0.0,0.0,0.0,0,19.0838168,47.4781943,1656,4
1671,13.07692308,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1,19.028363600000002,47.5121263,1671,0
1685,9.28,2.0,2.0,0.0,1.0,0,1,1.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0346451,47.537629200000005,1685,1
1706,12.88333333,2.0,3.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1,19.035156100000002,47.5152459,1706,0
1711,9.094117647000001,3.0,3.0,1.0,1.0,0,1,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1,19.05566,47.5074852,1711,4
1730,14.89361702,1.0,4.0,1.0,1.0,0,0,0.0,1.0,1.0,1,0,0,0.0,0.0,0.0,0.0,0,19.0566593,47.5030102,1730,3
1734,20.89552239,3.0,1.0,0.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0571633,47.507189000000004,1734,2
1741,7.414285714,2.0,1.0,0.0,1.0,0,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0653514,47.49260820000001,1741,1
1775,12.375,2.0,2.0,0.0,1.0,0,1,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.076559699999997,47.4866122,1775,5
1777,8.0,1.0,1.0,0.0,1.0,0,1,1.0,1.0,0.0,1,0,0,0.0,0.0,0.0,0.0,1,19.0686682,47.500491700000005,1777,1
1792,9.317460317,2.0,4.0,1.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,1,19.018478299999998,47.494333600000004,1792,4
1802,8.018518519,2.0,2.0,0.0,1.0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0665121,47.5282487,1802,1
1804,9.563636364,1.0,1.0,1.0,0.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0471806,47.5107964,1804,1
1817,7.606557377000001,2.0,2.0,1.0,1.0,0,0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0519825,47.515504799999995,1817,1
1825,13.23809524,1.0,4.0,0.0,1.0,0,1,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.0506922,47.4996552,1825,3
1832,12.8,2.0,4.0,0.0,1.0,0,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1,19.0542845,47.4887515,1832,3
1833,10.16438356,2.0,3.0,2.0,0.0,0,0,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0,19.120051999999998,47.514724,1833,4
