ID,poi shape,poi_type,coordinate,longitude,latitude
837,Point,information," 18.9300999, 47.5264999 ",18.9300999,47.5264999
862,Point,information," 18.9281692, 47.5599505 ",18.9281692,47.5599505
876,Point,information," 19.034247, 47.5010571 ",19.034247,47.5010571
977,Point,information," 19.0775781, 47.5181508 ",19.0775781,47.5181508
979,Point,information," 18.9453785, 47.497385 ",18.9453785,47.497385
990,Point,information," 18.9240936, 47.5696597 ",18.9240936,47.5696597
1001,Point,information," 18.8736418, 47.5917856 ",18.8736418,47.5917856
1002,Point,information," 18.9083862, 47.5797233 ",18.9083862,47.5797233
1003,Point,information," 18.8604076, 47.5900388 ",18.8604076,47.5900388
1007,Point,information," 18.8709616, 47.596223 ",18.8709616,47.596223
1009,Point,information," 18.9542783, 47.465835 ",18.9542783,47.465835
1021,Point,information," 18.8684193, 47.5297956 ",18.8684193,47.5297956
1043,Point,information," 18.9442698, 47.5071779 ",18.9442698,47.5071779
1045,Point,information," 18.9480431, 47.4874029 ",18.9480431,47.4874029
1077,Point,information," 18.9367762, 47.5593893 ",18.9367762,47.5593893
1086,Point,information," 18.9085466, 47.5839986 ",18.9085466,47.5839986
1131,Point,information," 18.8649807, 47.5734344 ",18.8649807,47.5734344
1132,Point,information," 18.8797749, 47.5759908 ",18.8797749,47.5759908
1133,Point,information," 18.8739999, 47.5769008 ",18.8739999,47.5769008
1134,Point,information," 18.881119, 47.5865209 ",18.881119,47.5865209
1141,Point,information," 18.8668333, 47.5598333 ",18.8668333,47.5598333
1142,Point,information," 18.8678206, 47.5561434 ",18.8678206,47.5561434
1159,Point,information," 19.0557171, 47.5074875 ",19.0557171,47.5074875
1174,Point,information," 18.9453584, 47.5610301 ",18.9453584,47.5610301
1176,Point,information," 18.9656365, 47.5355684 ",18.9656365,47.5355684
1177,Point,information," 18.9651632, 47.5353432 ",18.9651632,47.5353432
1178,Point,information," 18.9639062, 47.5355946 ",18.9639062,47.5355946
1179,Point,information," 18.9615241, 47.5363463 ",18.9615241,47.5363463
1180,Point,information," 18.9603912, 47.536768 ",18.9603912,47.536768
1181,Point,information," 18.9650304, 47.5361128 ",18.9650304,47.5361128
1183,Point,information," 18.9239605, 47.4620667 ",18.9239605,47.4620667
1186,Point,information," 18.9084211, 47.5841109 ",18.9084211,47.5841109
1187,Point,information," 18.889466, 47.5841841 ",18.889466,47.5841841
1188,Point,information," 18.9482037, 47.4887936 ",18.9482037,47.4887936
1197,Point,information," 18.8618208, 47.5648924 ",18.8618208,47.5648924
1198,Point,information," 18.8675473, 47.5522648 ",18.8675473,47.5522648
1199,Point,information," 18.8651531, 47.5516597 ",18.8651531,47.5516597
1200,Point,information," 18.8697732, 47.5453414 ",18.8697732,47.5453414
1201,Point,information," 18.8692962, 47.5419178 ",18.8692962,47.5419178
1202,Point,information," 18.8698367, 47.5450876 ",18.8698367,47.5450876
1203,Point,information," 18.8673714, 47.5513552 ",18.8673714,47.5513552
1210,Point,information," 19.0688196, 47.4068042 ",19.0688196,47.4068042
1211,Point,information," 18.9449273, 47.4980815 ",18.9449273,47.4980815
1217,Point,information," 19.0613706, 47.5396798 ",19.0613706,47.5396798
1227,Point,information," 18.8844846, 47.5760411 ",18.8844846,47.5760411
1228,Point,information," 18.892458, 47.5873226 ",18.892458,47.5873226
1234,Point,information," 18.8610256, 47.5964594 ",18.8610256,47.5964594
1237,Point,information," 18.8783305, 47.6052179 ",18.8783305,47.6052179
1260,Point,information," 18.8824417, 47.5884464 ",18.8824417,47.5884464
1296,Point,information," 19.0247571, 47.5040712 ",19.0247571,47.5040712
1305,Point,information," 19.0536744, 47.5368868 ",19.0536744,47.5368868
1311,Point,information," 19.0178722, 47.4644937 ",19.0178722,47.4644937
1318,Point,information," 18.982598, 47.6091573 ",18.982598,47.6091573
1320,Point,information," 19.021368, 47.5878616 ",19.021368,47.5878616
1321,Point,information," 19.0561754, 47.4931991 ",19.0561754,47.4931991
1322,Point,information," 19.0570751, 47.4934598 ",19.0570751,47.4934598
1323,Point,information," 19.0573189, 47.4935237 ",19.0573189,47.4935237
1328,Point,information," 18.9884348, 47.4377617 ",18.9884348,47.4377617
1330,Point,information," 19.2886367, 47.4467594 ",19.2886367,47.4467594
1331,Point,information," 19.2844086, 47.4434412 ",19.2844086,47.4434412
1333,Point,information," 19.2823411, 47.444901 ",19.2823411,47.444901
1334,Point,information," 19.2818439, 47.4450885 ",19.2818439,47.4450885
1335,Point,information," 19.280253, 47.4464593 ",19.280253,47.4464593
1336,Point,information," 19.2763851, 47.4498737 ",19.2763851,47.4498737
1337,Point,information," 19.2769538, 47.4504231 ",19.2769538,47.4504231
1338,Point,information," 19.2756881, 47.4517906 ",19.2756881,47.4517906
1340,Point,information," 19.2959602, 47.4569057 ",19.2959602,47.4569057
1341,Point,information," 19.2707936, 47.4627209 ",19.2707936,47.4627209
1342,Point,information," 19.2753895, 47.4606156 ",19.2753895,47.4606156
1343,Point,information," 19.2781039, 47.4593609 ",19.2781039,47.4593609
1344,Point,information," 19.2842818, 47.4564103 ",19.2842818,47.4564103
1347,Point,information," 19.3292468, 47.5987767 ",19.3292468,47.5987767
1349,Point,information," 19.058742, 47.4993348 ",19.058742,47.4993348
1350,Point,information," 19.0582535, 47.4991002 ",19.0582535,47.4991002
1351,Point,information," 19.0598656, 47.4999024 ",19.0598656,47.4999024
1352,Point,information," 19.0567041, 47.4982008 ",19.0567041,47.4982008
1353,Point,information," 19.0605028, 47.5003234 ",19.0605028,47.5003234
1354,Point,information," 19.0623252, 47.5016813 ",19.0623252,47.5016813
1355,Point,information," 19.0623053, 47.5016678 ",19.0623053,47.5016678
1356,Point,information," 19.0643892, 47.5026587 ",19.0643892,47.5026587
1357,Point,information," 19.0637365, 47.5025569 ",19.0637365,47.5025569
1358,Point,information," 18.9838108, 47.4390811 ",18.9838108,47.4390811
1359,Point,information," 18.9794226, 47.4335745 ",18.9794226,47.4335745
1360,Point,information," 18.9781675, 47.4336267 ",18.9781675,47.4336267
1361,Point,information," 18.980061, 47.4388705 ",18.980061,47.4388705
1362,Point,information," 18.9842001, 47.4370985 ",18.9842001,47.4370985
