id,price_per_sqm,apartment,number_of_whole_rooms,number_of_half_rooms,apartment_floor,longitude,latitude,location_district,furnish_furnished,lift,view_total,heating_total,air_conditioner,cluster
709,8.592592593,1,1,1,3,19.0334755,47.4896208,I,1,1,panoramic,,0,0
713,6.892307692,1,4,0,1,19.039273,47.4750127,XI,0,,street,,0,0
715,9.020833333,1,1,1,1,19.0563049,47.4908526,V,1,,,,0,0
716,6.013888889,1,3,0,5,19.0910605,47.5594718,IV,0,,street,,0,0
718,7.094117647,1,2,1,1,19.0745387,47.4968678,VIII,1,,street,,0,0
719,9.189189189,1,1,1,3,19.0421109,47.5498762,III,0,,garden,,0,0
720,7.514285714,1,3,0,1,19.0654443,47.5372357,XIII,1,,street,,0,0
722,4.785714286,1,3,0,3,19.0847853,47.4934215,VIII,0,,panoramic,,0,0
723,7.365079365,1,2,1,0.5,19.0573666,47.5223389,XIII,1,,street,,0,0
727,6.875,1,2,0,1,19.0773951,47.4867636,VIII,0,,street,,0,0
730,7.942857143,1,2,0,0,19.0465588,47.4748357,XI,1,,street,,0,0
732,6.724637681,1,2,0,1,19.0402968,47.4569186,XI,1,,street,,0,0
736,7.357142857,1,1,0,1,19.072605,47.5357852,XIII,1,,street,,0,0
739,9.212765957,1,1,1,1,19.118362,47.515737,XIV,0,,garden,,0,0
740,7.42,1,2,0,1,19.0321287,47.4778304,XI,0,,street,,0,0
742,4.150537634,1,2,0,-2,19.0837058,47.5034472,VII,1,,street,,0,0
750,7,1,1,0,0,19.1124149,47.5031129,XIV,1,,,,0,0
751,7.893617021,1,1,1,2,19.1428398,47.5411718,XV,1,,street,,0,0
753,7.514285714,1,2,0,1,19.0798365,47.534317,XIII,1,,street,,0,0
754,9.088235294,1,2,2,0,19.0614513,47.5231554,XIII,1,,street,,0,0
755,8.204081633,1,2,0,1,19.1109136,47.4443526,XX,0,,street,,0,0
760,7.173913043,1,2,1,1,19.0566672,47.4908802,V,0,,street,,0,0
762,7.6875,1,2,0,1,19.0745387,47.4968678,VIII,0,,street,,0,0
764,7.58490566,1,1,0,3,19.0514866,47.5119888,XIII,1,,street,,0,0
766,8.777777778,1,2,0,1,19.0227367,47.5077219,II,0,,street,,0,0
767,7.857142857,1,2,0,3,19.0318634,47.5071115,I,1,,street,,0,0
769,7.872727273,1,2,0,1,19.1614855,47.471423,X,1,,street,,0,0
770,7.408450704,1,1,0,0,19.0645768,47.4854144,IX,1,,street,,0,0
773,8.828571429,1,1,0,0,19.0398493,47.5347886,III,1,,street,,0,0
774,8.745283019,1,3,2,3,18.9754673,47.5350603,II,0,,garden,,0,0
781,7.083333333,1,1,1,2,19.201012,47.506908,XVI,0,,,,0,0
784,8.933333333,1,1,1,0.5,19.060266,47.4932905,V,0,,,,0,0
788,7.42,1,3,0,1,18.9475857,47.5441737,II,0,,panoramic,,0,0
789,7.071428571,1,2,0,1,19.0566672,47.4908802,V,0,,street,,0,0
790,8.66,1,2,0,4,19.0765417,47.4950019,VIII,1,,panoramic,,0,0
804,7.391304348,1,4,0,2,19.0701492,47.5061329,VI,1,,street,,0,0
806,8.292682927,1,3,1,1,19.0374598,47.5013422,I,0,,street,,0,0
807,7.071428571,1,2,0,1,19.0566672,47.4908802,V,0,,street,,0,0
810,8.114754098,1,2,0,3,19.0682248,47.512731,VI,1,,street,,0,0
811,9.285714286,1,2,0,3,19.0514866,47.5119888,XIII,1,1,,,0,0
819,8.627906977,1,1,1,2,19.0852588,47.4859316,VIII,0,,street,,0,0
820,8.5,1,1,0,3,19.0895896,47.4885468,VIII,1,,street,,0,0
822,8.592592593,1,1,1,3,19.0334755,47.4896208,I,1,,street,,0,0
827,8.758333333,1,4,1,0,19.0827215,47.4984473,VIII,0,,street,,0,0
829,7.872727273,1,2,0,1,19.1106933,47.4637692,IX,1,,garden,,0,0
831,6.628571429,1,1,0,0,19.1037679,47.4483496,XX,1,,street,,0,0
835,5.963855422,1,2,0,2,19.0723055,47.496285,VIII,0,,,,0,0
839,7.134615385,1,1,1,0,19.1254709,47.5504171,XV,1,,street,,0,0
840,6.892857143,1,2,0,3,19.0420777,47.467484,XI,1,,,,0,0
842,6.823529412,1,1,2,2,19.0662395,47.5116498,VI,0,,street,,0,0
845,7.616438356,1,2,1,1,19.1096081,47.5018324,XIV,0,,street,,0,0
848,8.5,1,1,0,1,19.0986794,47.5665409,IV,0,,,,0,0
852,8.349206349,1,2,1,1,19.026853,47.492482,XII,0,,street,,0,0
861,3.092307692,1,1,0,3,19.0462504,47.4550259,XI,1,,street,,0,0
866,8.967741935,1,1,1,1,19.055324,47.505925,VI,1,,street,circulating,0,0
867,8.389830508,1,1,2,3,19.0614281,47.603166,III,1,,,,0,0
869,8.327272727,1,2,0,1,19.0713207,47.4874366,VIII,1,,,,0,0
870,8.627906977,1,1,1,3,19.0392576,47.4294207,XXII,1,,street,,0,0
872,8.292682927,1,1,0,4,19.056487,47.518029,XIII,0,,street,,0,0
874,8.114754098,1,2,0,3,19.0653514,47.4926082,VIII,0,,,,0,0
875,7.128205128,1,1,0,2,19.0570999,47.519328,XIII,1,,street,,0,0
878,8.492957746,1,2,1,3,19.0744785,47.4815394,IX,0,,street,,0,0
882,8.666666667,1,2,0,2,19.069673,47.507188,VI,1,,street,,0,0
887,7.86440678,1,2,0,1,19.0520163,47.5007607,V,0,1,street,gas,0,0
891,9.333333333,1,2,0,2,19.0576374,47.5089287,VI,1,,street,,0,0
894,7.157407407,1,3,1,1,19.0670591,47.512111,VI,0,,street,,0,0
898,6.95,1,1,0,2,19.0560403,47.5198747,XIII,1,,,,0,0
899,9.275,1,4,0,1,19.0362538,47.5185701,II,0,,street,,0,0
904,7.213333333,1,1,0,2,19.071895,47.515997,VI,0,,,,0,0
905,6.18,1,3,0,1,19.0697349,47.4892646,VIII,1,,street,,0,0
908,9.236111111,1,2,0,3,19.0514866,47.5119888,XIII,1,1,street,,0,0
912,6.976744186,1,1,1,0,19.0809202,47.4226097,XXI,1,,street,,0,0
920,8.424242424,1,1,0,2,19.0305722,47.4777806,XI,1,,street,,0,0
931,8.140350877,1,2,0,2,19.1304605,47.5101172,XIV,0,,street,,0,0
932,8.839285714,1,2,1,0,19.0557519,47.516934,XIII,0,,,,0,0
935,7.735294118,1,2,1,2,18.9763584,47.4981371,XII,0,,,,0,0
936,8.04,1,2,0,3,19.1293391,47.5038505,XIV,1,,,,0,0
940,7.465517241,1,2,0,2,19.2019508,47.5109337,XVI,0,,garden,,0,0
941,7.484848485,1,1,0,0,19.1361683,47.4455362,XIX,1,,street,,0,0
946,7.42,1,2,0,1,19.0321287,47.4778304,XI,1,,street,,0,0
947,6.745454545,1,2,0,0.5,19.1577248,47.4684052,X,0,,street,,0,0
951,7.73,1,3,0,1,18.993483,47.5260406,II,0,,garden,,0,0
960,9.275,1,1,0,1,19.0640493,47.5310637,XIII,1,,street,,0,0
961,9.392405063,1,2,1,2,19.0518555,47.51886,XIII,0,,street,,0,0
962,6.185714286,1,2,0,1,19.056487,47.518029,XIII,1,,,,0,0
963,8.766666667,1,2,0,0,19.0145518,47.5163924,II,1,,panoramic,,0,0
967,9.166666667,1,2,0,3,19.0475225,47.4721053,XI,0,,,,0,0
970,6.745454545,1,2,0,3,19.1557457,47.5092623,XVI,0,,street,,0,0
978,8.5,1,2,1,3,19.060129,47.502768,VI,1,1,,,0,0
983,7.725,1,3,0,1,19.082312,47.505118,VII,0,,street,,0,0
984,7.725,1,3,0,1,19.082312,47.505118,VII,0,,street,,0,0
985,9.375,1,5,0,1,19.0347025,47.5266763,II,0,,garden,,1,0
988,8.04,1,1,2,3,19.0625565,47.5968952,III,1,,,,0,0
989,8.990909091,1,4,0,1,19.0242842,47.5254524,II,0,,panoramic,,0,0
993,8.389830508,1,1,2,3,19.0627838,47.6026206,III,1,,street,,0,0
994,8.62295082,1,1,1,3,19.0560403,47.5198747,XIII,0,,street,,0,0
995,9.098039216,1,1,1,1,19.1124149,47.5031129,XIV,1,,street,,0,0
1001,6.875,1,2,2,4,19.085631,47.5586908,IV,0,,,,0,0
1004,5.533333333,1,5,1,1,19.0877158,47.5036805,VII,0,,street,,0,0
1006,9.413043478,1,1,1,3,19.0507635,47.4768386,XI,0,,street,,0,0
1007,8.04,1,1,1,0,19.1099725,47.4418744,XX,1,,street,,0,0
1008,7.746478873,1,2,0,0,19.039273,47.4750127,XI,1,,,,0,0
1009,6.538461538,1,2,0,4,19.151537,47.479799,X,1,,,,0,0
1012,7.274509804,1,3,1,1,19.0114366,47.4941525,XII,0,,garden,,0,0
1015,8.553191489,1,1,0,1,18.9673086,47.5218361,II,1,,garden,,0,0
1024,8.833333333,1,2,0,1,19.0518555,47.51886,XIII,0,,street,,0,0
1035,8.140350877,1,1,1,2,19.1304605,47.5101172,XIV,0,,,,0,0
1037,3.090322581,1,1,1,1.5,19.0862715,47.5411188,XIII,1,,street,,0,0
1039,8.66,1,2,0,3,19.1293391,47.5038505,XIV,1,,garden,,0,0
1044,8.326923077,1,2,0,0,19.0217214,47.4990917,XII,1,,,,0,0
1045,9.266666667,1,2,0,1.5,19.061478,47.537793,XIII,1,,street,,0,0
1047,8.095238095,1,2,0,4,19.1118177,47.434466,XX,0,,garden,,0,0
