,poi shape,poi type,coordinate
5458,Point,platform,"[18.8991777, 47.608755]"
5459,Point,platform,"[18.8987525, 47.6087949]"
5460,Point,bus_stop,"[18.9043011, 47.6120062]"
5461,Point,bus_stop,"[18.9033982, 47.6105101]"
5462,Point,platform,"[18.8642093, 47.6225666]"
5463,Point,platform,"[18.8627634, 47.6234706]"
5464,Point,platform,"[18.9014548, 47.634208]"
5465,Point,bus_stop,"[18.899699, 47.6135719]"
5466,Point,platform,"[18.8790225, 47.6192584]"
5467,Point,platform,"[18.8776041, 47.6198931]"
5468,Point,platform,"[18.9186186, 47.6009808]"
5469,Point,platform,"[18.9178145, 47.6016357]"
5470,Point,platform,"[18.9276675, 47.597368]"
5471,Point,platform,"[18.9407779, 47.5949781]"
5472,Point,platform,"[18.9402157, 47.5950421]"
5473,Point,platform,"[18.9124486, 47.60388]"
5474,Point,platform,"[18.9124848, 47.6040625]"
5475,Point,platform,"[19.0440037, 47.5159545]"
5476,Point,platform,"[19.0437283, 47.5158308]"
5477,Point,platform,"[19.1179585, 47.3789507]"
5478,Point,platform,"[19.1717302, 47.5308355]"
5479,Point,stop_position,"[19.1224596, 47.5592267]"
5480,Point,bus_stop,"[19.0196267, 47.490388]"
5481,Point,stop_position,"[19.0195835, 47.4644471]"
5482,Point,stop_position,"[19.0472593, 47.4766126]"
5483,Point,stop_position,"[19.0319979, 47.4648632]"
5484,Point,stop_position,"[19.0580023, 47.4861408]"
5485,Point,stop_position,"[19.060975, 47.4889126]"
5486,Point,stop_position,"[19.0459836, 47.4728946]"
5487,Point,stop_position,"[19.0498848, 47.5159486]"
5488,Point,platform,"[19.14646, 47.4640722]"
5489,Point,stop,"[18.9910116, 47.4082277]"
5490,Point,platform,"[19.0532235, 47.5156905]"
5491,Point,stop_position,"[19.0908082, 47.4688946]"
5492,Point,stop_position,"[19.2554814, 47.4864291]"
5493,Point,stop_position,"[19.0841522, 47.4571365]"
5494,Point,stop_position,"[19.1877733, 47.402845]"
5495,Point,stop_position,"[19.0416078, 47.4248441]"
5496,Point,stop_position,"[19.2244173, 47.4368741]"
5497,Point,stop_position,"[19.0335912, 47.4414836]"
5498,Point,stop_position,"[19.0851084, 47.4560051]"
5499,Point,stop_position,"[19.2969002, 47.4560266]"
5500,Point,stop_position,"[19.0206763, 47.4640098]"
5501,Point,stop_position,"[19.0200145, 47.4640577]"
5502,Point,stop_position,"[19.0201761, 47.4640442]"
5503,Point,stop_position,"[19.245415, 47.4687487]"
5504,Point,stop_position,"[19.0923584, 47.469056]"
5505,Point,stop_position,"[19.2567007, 47.486227]"
5506,Point,stop_position,"[19.0246871, 47.4986774]"
5507,Point,stop_position,"[19.0248452, 47.4987246]"
5508,Point,stop_position,"[19.0250184, 47.4987759]"
5509,Point,stop_position,"[19.0252218, 47.4988421]"
5510,Point,stop_position,"[19.025433, 47.4989088]"
5511,Point,stop_position,"[19.0256375, 47.4989738]"
5512,Point,stop_position,"[19.0246132, 47.4989853]"
5513,Point,stop_position,"[19.0249781, 47.4990783]"
5514,Point,stop_position,"[19.0251844, 47.4991354]"
5515,Point,stop_position,"[19.0254033, 47.4991919]"
5516,Point,stop_position,"[19.025582, 47.4992401]"
5517,Point,stop_position,"[19.0247653, 47.4990276]"
5518,Point,bus_stop,"[19.2813355, 47.4073137]"
5519,Point,platform,"[19.0791928, 47.5649604]"
5520,Point,bus_stop,"[19.1759128, 47.6150493]"
