,poi shape,poi type,coordinate
2475,Point,gallery,"[19.0528518, 47.4967569]"
2476,Point,attraction,"[19.1468567, 47.4516676]"
2477,Point,artwork,"[19.0362443, 47.4985659]"
2478,Point,information,"[19.2461239, 47.5055863]"
2479,Point,information,"[19.2503645, 47.5099341]"
2480,Point,gallery,"[19.0513526, 47.4802599]"
2481,Point,gallery,"[19.0528687, 47.5069605]"
2482,Point,gallery,"[19.0523518, 47.482099]"
2483,Point,gallery,"[19.0584216, 47.5052796]"
2484,Point,gallery,"[19.0635646, 47.503977]"
2485,Point,gallery,"[19.053981, 47.5079124]"
2486,Point,attraction,"[19.0489595, 47.4941363]"
2487,Point,gallery,"[19.0606989, 47.503773]"
2488,Point,gallery,"[19.0607465, 47.5037399]"
2489,Point,gallery,"[19.0485026, 47.5121111]"
2490,Point,gallery,"[19.0605149, 47.5029968]"
2491,Point,gallery,"[19.0666678, 47.4822275]"
2492,Point,gallery,"[19.0593106, 47.491417]"
2493,Point,gallery,"[19.0484637, 47.5119589]"
2494,Point,gallery,"[19.0637255, 47.4975424]"
2495,Point,gallery,"[19.0431288, 47.5383799]"
2496,Point,gallery,"[19.0600515, 47.4898401]"
2497,Point,artwork,"[19.0816407, 47.5304676]"
2498,Point,gallery,"[18.9756565, 47.5265915]"
2499,Point,museum,"[19.0537812, 47.5054628]"
2500,Point,gallery,"[19.0340636, 47.5488454]"
2501,Point,gallery,"[19.0646227, 47.5046483]"
2502,Point,gallery,"[19.0302314, 47.5084079]"
2503,Point,gallery,"[19.0188769, 47.4952623]"
2504,Point,gallery,"[19.1415712, 47.4532074]"
2505,Point,hotel,"[19.1040121, 47.5002338]"
2506,Point,gallery,"[19.037543, 47.4768715]"
2507,Point,gallery,"[19.0519708, 47.4766588]"
2508,Point,gallery,"[19.0805866, 47.5083145]"
2509,Point,gallery,"[19.0673619, 47.4986073]"
2510,Point,gallery,"[19.0864925, 47.507122]"
2511,Point,gallery,"[19.0334174, 47.5110932]"
2512,Point,gallery,"[19.0723703, 47.4837768]"
2513,Point,gallery,"[19.057644, 47.4931634]"
2514,Point,gallery,"[19.0501248, 47.4787175]"
2515,Point,gallery,"[19.0471039, 47.4717415]"
2516,Point,gallery,"[19.0526683, 47.4829729]"
2517,Point,gallery,"[19.0516025, 47.4820322]"
2518,Point,gallery,"[19.1774927, 47.4470396]"
2519,Point,gallery,"[19.1796823, 47.4429615]"
2520,Point,gallery,"[19.01717, 47.492987]"
2521,Point,gallery,"[19.0323323, 47.5020006]"
2522,Point,gallery,"[19.0384356, 47.5283133]"
2523,Point,gallery,"[19.0340686, 47.5413527]"
2524,Point,gallery,"[19.0454016, 47.5416738]"
