ID,poi shape,poi type,coordinate,amenity_types,latitude,longitude
15651,Point,recycling," 19.003075, 47.5295086 ",Recycling,47.5295086,19.003075
15671,Point,recycling," 19.1109408, 47.5648887 ",Recycling,47.5648887,19.1109408
15681,Point,recycling," 19.0027293, 47.5124543 ",Recycling,47.5124543,19.0027293
15682,Point,recycling," 18.9904793, 47.5112274 ",Recycling,47.5112274,18.9904793
15686,Point,recycling," 19.0825139, 47.5520059 ",Recycling,47.5520059,19.0825139
15689,Point,recycling," 18.9877105, 47.5017016 ",Recycling,47.5017016,18.9877105
15704,Point,recycling," 18.9669485, 47.5115691 ",Recycling,47.5115691,18.9669485
15759,Point,recycling," 19.0661163, 47.4294676 ",Recycling,47.4294676,19.0661163
15818,Point,recycling," 18.9659602, 47.5376271 ",Recycling,47.5376271,18.9659602
15820,Point,recycling," 18.966374, 47.5381274 ",Recycling,47.5381274,18.966374
15826,Point,recycling," 19.3795697, 47.6023228 ",Recycling,47.6023228,19.3795697
15828,Point,recycling," 19.0801147, 47.4869253 ",Recycling,47.4869253,19.0801147
15853,Point,recycling," 19.0803837, 47.4792323 ",Recycling,47.4792323,19.0803837
15863,Point,recycling," 18.9975238, 47.5173052 ",Recycling,47.5173052,18.9975238
15867,Point,recycling," 18.9713886, 47.5220157 ",Recycling,47.5220157,18.9713886
15870,Point,recycling," 19.0596913, 47.5100021 ",Recycling,47.5100021,19.0596913
15873,Point,recycling," 19.0711571, 47.4348084 ",Recycling,47.4348084,19.0711571
15877,Point,recycling," 19.0703458, 47.4284723 ",Recycling,47.4284723,19.0703458
15907,Point,recycling," 19.1107702, 47.4904718 ",Recycling,47.4904718,19.1107702
15915,Point,recycling," 19.0372922, 47.4410173 ",Recycling,47.4410173,19.0372922
15928,Point,recycling," 19.1570209, 47.505973 ",Recycling,47.505973,19.1570209
15931,Point,recycling," 19.23325, 47.4794563 ",Recycling,47.4794563,19.23325
15932,Point,recycling," 19.2364206, 47.4813243 ",Recycling,47.4813243,19.2364206
15933,Point,recycling," 19.2364744, 47.4790403 ",Recycling,47.4790403,19.2364744
15942,Point,recycling," 19.2390358, 47.4793608 ",Recycling,47.4793608,19.2390358
15943,Point,recycling," 19.2350592, 47.4829571 ",Recycling,47.4829571,19.2350592
16006,Point,recycling," 19.0227277, 47.4410671 ",Recycling,47.4410671,19.0227277
16007,Point,recycling," 18.9390924, 47.5587553 ",Recycling,47.5587553,18.9390924
16011,Point,recycling," 18.9288855, 47.5915634 ",Recycling,47.5915634,18.9288855
16040,Point,recycling," 18.932776, 47.4592617 ",Recycling,47.4592617,18.932776
16084,Point,recycling," 19.0377944, 47.544971 ",Recycling,47.544971,19.0377944
16155,Point,recycling," 19.0713758, 47.4269358 ",Recycling,47.4269358,19.0713758
16206,Point,recycling," 19.3403176, 47.4408566 ",Recycling,47.4408566,19.3403176
16323,Point,recycling," 19.1774072, 47.4639864 ",Recycling,47.4639864,19.1774072
16324,Point,recycling," 19.1830367, 47.4563973 ",Recycling,47.4563973,19.1830367
16325,Point,recycling," 19.196652, 47.456778 ",Recycling,47.456778,19.196652
16334,Point,recycling," 18.8854999, 47.4208343 ",Recycling,47.4208343,18.8854999
16336,Point,recycling," 19.0744977, 47.4349745 ",Recycling,47.4349745,19.0744977
16337,Point,recycling," 19.0733233, 47.4350264 ",Recycling,47.4350264,19.0733233
16351,Point,recycling," 18.9294907, 47.4286521 ",Recycling,47.4286521,18.9294907
16381,Point,recycling," 19.0710682, 47.4249895 ",Recycling,47.4249895,19.0710682
16387,Point,recycling," 19.0479811, 47.4620521 ",Recycling,47.4620521,19.0479811
16395,Point,recycling," 19.055364, 47.4071948 ",Recycling,47.4071948,19.055364
16409,Point,recycling," 19.1148746, 47.5966123 ",Recycling,47.5966123,19.1148746
16427,Point,recycling," 19.0761229, 47.4326737 ",Recycling,47.4326737,19.0761229
16442,Point,recycling," 19.029613, 47.498283 ",Recycling,47.498283,19.029613
16452,Point,recycling," 19.1710085, 47.5105866 ",Recycling,47.5105866,19.1710085
16468,Point,recycling," 19.0700151, 47.4199419 ",Recycling,47.4199419,19.0700151
16469,Point,recycling," 19.2171908, 47.503678 ",Recycling,47.503678,19.2171908
16478,Point,recycling," 19.1512931, 47.4528963 ",Recycling,47.4528963,19.1512931
16491,Point,recycling," 19.0702535, 47.4187478 ",Recycling,47.4187478,19.0702535
16495,Point,recycling," 19.0709847, 47.4230753 ",Recycling,47.4230753,19.0709847
16496,Point,recycling," 19.070422, 47.4219609 ",Recycling,47.4219609,19.070422
16511,Point,recycling," 19.0746607, 47.4189209 ",Recycling,47.4189209,19.0746607
16541,Point,recycling," 19.0678942, 47.4137675 ",Recycling,47.4137675,19.0678942
16544,Point,recycling," 19.0622047, 47.4116085 ",Recycling,47.4116085,19.0622047
16545,Point,recycling," 19.0867474, 47.4243087 ",Recycling,47.4243087,19.0867474
16766,Point,recycling," 19.0729794, 47.4083645 ",Recycling,47.4083645,19.0729794
16780,Point,recycling," 19.0786518, 47.4103325 ",Recycling,47.4103325,19.0786518
16826,Point,recycling," 18.8846952, 47.4123651 ",Recycling,47.4123651,18.8846952
16827,Point,recycling," 18.8847261, 47.4123415 ",Recycling,47.4123415,18.8847261
16828,Point,recycling," 18.8847596, 47.412317 ",Recycling,47.412317,18.8847596
16829,Point,recycling," 18.936649, 47.3600262 ",Recycling,47.3600262,18.936649
16830,Point,recycling," 18.9366675, 47.3600147 ",Recycling,47.3600147,18.9366675
16831,Point,recycling," 18.9366891, 47.3599907 ",Recycling,47.3599907,18.9366891
16832,Point,recycling," 18.9292861, 47.3619966 ",Recycling,47.3619966,18.9292861
16833,Point,recycling," 18.9292631, 47.3619885 ",Recycling,47.3619885,18.9292631
16834,Point,recycling," 18.9292417, 47.3619794 ",Recycling,47.3619794,18.9292417
16835,Point,recycling," 18.9288499, 47.3639413 ",Recycling,47.3639413,18.9288499
16836,Point,recycling," 18.9288333, 47.3639149 ",Recycling,47.3639149,18.9288333
16837,Point,recycling," 18.9288213, 47.3638967 ",Recycling,47.3638967,18.9288213
16838,Point,recycling," 18.9148607, 47.3707495 ",Recycling,47.3707495,18.9148607
