ID,poi shape,poi type,coordinate,shop_types,longitude,latitude
2524,Point,hairdresser,"   19.0254048, 47.5080987  ",Beauty,19.0254048,47.5080987
2525,Point,hairdresser,"   19.0263068, 47.5079532  ",Beauty,19.0263068,47.5079532
2527,Point,chemist,"   19.0533468, 47.4970633  ",Beauty,19.0533468,47.4970633
2533,Point,hairdresser,"   19.059684, 47.5220105  ",Beauty,19.059684,47.5220105
2540,Point,hairdresser,"   19.0587407, 47.5176134  ",Beauty,19.0587407,47.5176134
2541,Point,hairdresser,"   19.0577223, 47.5180844  ",Beauty,19.0577223,47.5180844
2544,Point,hairdresser,"   19.0609663, 47.51998  ",Beauty,19.0609663,47.51998
2547,Point,beauty,"   19.0578778, 47.5202188  ",Beauty,19.0578778,47.5202188
2558,Point,beauty,"   19.0546164, 47.5184019  ",Beauty,19.0546164,47.5184019
2559,Point,hairdresser,"   19.0530121, 47.5187603  ",Beauty,19.0530121,47.5187603
2565,Point,hairdresser,"   19.0617666, 47.5218646  ",Beauty,19.0617666,47.5218646
2572,Point,hairdresser,"   19.0522983, 47.5201221  ",Beauty,19.0522983,47.5201221
2578,Point,hairdresser,"   19.0585978, 47.519753  ",Beauty,19.0585978,47.519753
2579,Point,beauty,"   19.0585418, 47.5245398  ",Beauty,19.0585418,47.5245398
2581,Point,beauty,"   19.0521331, 47.5198229  ",Beauty,19.0521331,47.5198229
2593,Point,chemist,"   19.0576979, 47.5254684  ",Beauty,19.0576979,47.5254684
2599,Point,beauty,"   19.0601278, 47.5199516  ",Beauty,19.0601278,47.5199516
2608,Point,beauty,"   19.0580603, 47.5256167  ",Beauty,19.0580603,47.5256167
2611,Point,beauty,"   19.0589568, 47.5238503  ",Beauty,19.0589568,47.5238503
2625,Point,hairdresser,"   19.3514363, 47.4476701  ",Beauty,19.3514363,47.4476701
2639,Point,hairdresser,"   19.1284921, 47.5397963  ",Beauty,19.1284921,47.5397963
2672,Point,hairdresser,"   19.0545482, 47.5019994  ",Beauty,19.0545482,47.5019994
2682,Point,hairdresser,"   19.0564021, 47.517709  ",Beauty,19.0564021,47.517709
2686,Point,hairdresser,"   19.0558242, 47.5173254  ",Beauty,19.0558242,47.5173254
2690,Point,hairdresser,"   19.0554752, 47.5167563  ",Beauty,19.0554752,47.5167563
2693,Point,hairdresser,"   19.0555639, 47.5157348  ",Beauty,19.0555639,47.5157348
2696,Point,hairdresser,"   19.0572863, 47.5163766  ",Beauty,19.0572863,47.5163766
2709,Point,beauty,"   19.0554558, 47.5171647  ",Beauty,19.0554558,47.5171647
2713,Point,beauty,"   19.0546023, 47.5176961  ",Beauty,19.0546023,47.5176961
2716,Point,hairdresser,"   19.0544562, 47.5171242  ",Beauty,19.0544562,47.5171242
