ID,Houses,Apartments,Rooms,District I,District II,District III,District IV,District V,District VI,District VII,District VIII,District IX,District X,District XI,District XII,District XIII,District XIV,District XV,District XVI,District XVII,District XVIII,District XIX,District XX,District XXI,District XXII,District XXIII,Price(HUF millions),Size(sqm),Price per sqm (HUF),Street,Floor,Name of Residential complex,Parking place,View,View: Garden view,View: Panoramic view,View: Street view,Elevator,Air conditioning,Air conditioner,Number of rooms,Number of rooms: whole rooms,Number of rooms: half rooms,Condition of property,Condition of property: Newly build,Condition of property: In good condition,Condition of property: Renovated,Condition of property: In medium condition,Condition of property: Needs renovation,Condition of property: Mint,Utility level,Utility: double comfort,Utility: full comfort,Utility luxury,Energy Performance Certificate,Floors of the building,Ceiling height,Heating,Heating: gas,Heating: wall_heating,Heating: combination,Heating: ceiling,Accessible,Bathroom and toilet,Bathroom: separate,Bathroom: together,Orientation,Garden access,Balcony,Attic,Attic: Loft conversion,Transportation,Latitude,Longitude,Lats,Lons,Postcode,District
5031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.0,313,798722.0447, II/A kerület – Adyliget,-1,-1,1,panoramic,0,1,0,-1,available,1,4 room,4,0,mint,0,0,0,0,0,1,not specified,0,0,0,-1,3,-1,natural gas boiler,1,0,0,0,not specified,separate and together too,1,0,-1,-1,-1,-1,-1,-1,47.54735,18.939120000000003,47.54735,18.939120000000003,1029,2
5032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0,200,550000.0, Budafok – Rózsavölgy,-1,-1,1,garden view,1,0,0,-1,-1,-1,4 + 2 half room,4,2,in good condition,0,1,0,0,0,0,double comfort,1,0,0,-1,2,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,loft conversion,1,-1,47.44015,19.019703,47.44015,19.019703,1221,22
5033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.9,95,314736.8421, Csepel-Csillagtelep,-1,-1,-1,not specified,0,0,0,-1,-1,-1,1 + 4 half room,1,4,not specified,0,0,0,0,0,0,not specified,0,0,0,-1,-1,-1,natural gas (convector),1,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.412354,19.065416,47.412354,19.065416,1214,21
5034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.0,324,416666.6667, Budafok,-1,-1,1,garden view,1,0,0,-1,available,1,4 room,4,0,in good condition,0,1,0,0,0,0,not specified,0,0,0,-1,3,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.427578000000004,19.02647,47.427578000000004,19.02647,1221,22
5035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,150,593333.3333, Újlak,-1,-1,1,garden view,1,0,0,-1,not available,0,4 room,4,0,in good condition,0,1,0,0,0,0,full comfort,0,1,0,-1,1,-1,combination boiler,0,0,1,0,yes,together,0,1,-1,-1,-1,loft conversion possible,1,-1,47.524296,19.037125,47.524296,19.037125,1023,2
5036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,81,282716.0494, Rákosszentmihály – Kisszentmihály,-1,-1,1,not specified,0,0,0,-1,-1,-1,3 room,3,0,needs renovation,0,0,0,0,1,0,full comfort,0,1,0,-1,1,-1,combination boiler,0,0,1,0,not specified,together,0,1,-1,-1,-1,-1,-1,-1,47.539635,19.180216,47.539635,19.180216,1162,16
5037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.9,600,566500.0, Irhás árok,-1,-1,1,panoramic,0,1,0,-1,available,1,10 room,10,0,mint,0,0,0,0,0,1,luxury,0,0,1,-1,4,-1,natural gas boiler,1,0,0,0,yes,separate and together too,1,0,-1,-1,-1,loft conversion,1, Busz   8E    Éjszakai   908   ,47.478770000000004,18.983610000000002,47.478770000000004,18.983610000000002,1121,12
5038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.0,300,466666.6667, Krepuska Géza-telep,-1,-1,1,garden view,1,0,0,-1,available,1,2 + 2 half room,2,2,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,3,-1,combination boiler,0,0,1,0,no,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.413685,19.204273,47.413685,19.204273,1188,18
5039,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,540,222222.2222, Rákosszentmihály,-1,-1,1,garden view,1,0,0,-1,not available,0,7 room,7,0,in good condition,0,1,0,0,0,0,luxury,0,0,1,-1,2,-1,combination boiler,0,0,1,0,no,separate and together too,1,0,-1,-1,-1,loft conversion possible,1,-1,47.527313,19.170956,47.527313,19.170956,1162,16
5040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.9,160,218125.0, Rákospalota,-1,-1,1,street view,0,0,1,-1,not available,0,4 room,4,0,needs renovation,0,0,0,0,1,0,full comfort,0,1,0,-1,1,-1,combination boiler,0,0,1,0,not specified,not specified,-1,-1,-1,-1,-1,loft conversion possible,1,-1,47.562843,19.137367,47.562843,19.137367,1152,15
5041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,620,129032.2581, Gubacsipuszta,-1,-1,1,not specified,0,0,0,-1,not available,0,8 room,8,0,needs renovation,0,0,0,0,1,0,double comfort,1,0,0,-1,3,-1,combination boiler,0,0,1,0,no,separate,1,0,-1,-1,-1,loft conversion,1,-1,47.428173,19.138158999999998,47.428173,19.138158999999998,1204,20
5042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.0,2977,141081.6258, Nagytétény,-1,-1,1,not specified,0,0,0,-1,-1,-1,79 room,79,0,in medium condition,0,0,0,1,0,0,double comfort,1,0,0,-1,4,-1,central heating,0,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1,-1,47.396854,18.986045999999998,47.396854,18.986045999999998,1225,22
5043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.9,150,866000.0, Tisztviselőtelep,-1,-1,-1,garden view,1,0,0,-1,-1,-1,4 + 1 half room,4,1,needs renovation,0,0,0,0,1,0,full comfort,0,1,0,-1,-1,-1,natural gas (convector),1,0,0,0,not specified,separate and together too,1,0,-1,-1,-1,-1,-1,-1,47.480545,19.09756,47.480545,19.09756,1089,8
5044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,72,263888.8889, Csepel-Gyártelep,-1,-1,1,garden view,1,0,0,-1,not available,0,2 room,2,0,needs renovation,0,0,0,0,1,0,full bath,0,0,0,-1,1,-1,electric,0,0,0,0,no,together,0,1,-1,-1,-1,loft conversion possible,1,-1,47.421593,19.05697,47.421593,19.05697,1211,21
5045,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.0,328,670731.7073, Sasad,-1,-1,1,garden view,1,0,0,-1,available,1,6 room,6,0,mint,0,0,0,0,0,1,double comfort,1,0,0,-1,3,-1,gáz (cirko),1,0,0,0,no,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.475895,19.006678,47.475895,19.006678,1112,11
5046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,212,316037.7358, Klapka György utca 9,-1,-1,-1,not specified,0,0,0,-1,-1,-1,4 room,4,0,not specified,0,0,0,0,0,0,not specified,0,0,0,-1,-1,-1,not specified,0,0,0,0,not specified,not specified,-1,-1,-1,-1,-1,-1,-1, Busz   196   196A   224   225   231   ,47.55543,19.12688,47.55543,19.12688,1154,15
5047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5,95,310526.3158, Pacsirtatelep,-1,-1,1,garden view,1,0,0,-1,-1,-1,3 + 1 half room,3,1,mint,0,0,0,0,0,1,full comfort,0,1,0,-1,2,-1,combination boiler,0,0,1,0,no,separate and together too,1,0,-1,-1,-1,loft conversion,1,-1,47.424374,19.120295000000002,47.424374,19.120295000000002,1201,20
5048,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,72,777777.7778, Albert utca,-1,-1,1,street view,0,0,1,-1,not available,0,2 + 1 half room,2,1,in medium condition,0,0,0,1,0,0,full comfort,0,1,0,-1,1,-1,gáz (cirko),1,0,0,0,no,together,0,1,-1,-1,-1,loft conversion possible,1, Villamos   17   41   47   47B   48   56    Busz   7   114   141   213   214    Éjszakai   973   ,47.45426,19.037249,47.45426,19.037249,1119,11
